JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2447740.8625,10.6,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2447740.8882,10.6,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2447742.04,11.6,,,Vis.,KOA,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447742.652,12.2,,,Vis.,KRB,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447742.68,11.0,,,Vis.,TMR,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447743.04,11.9,,,Vis.,KOA,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447743.6,11.0,,,Vis.,GOP,C,,,,,,,V,,,,V745 SCO,,STD,,,,
2447744.55,<10.6,,,Vis.,SET,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447744.7,<11.5,,,Vis.,COL,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447744.859,12.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2447745.2,11.5,,,Vis.,COM,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447745.73,11.3,,,Vis.,TMR,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447747.2,12.0,,,Vis.,COM,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447747.72,12.2,,,Vis.,TMR,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447748.98,<12.0,,,Vis.,KOA,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447759.1,<14.0,,,Vis.,PEX,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447763.0,<14.0,,,Vis.,PEX,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447763.5,<10.6,,,Vis.,SHS,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447764.6,13.5,,,Vis.,LNF,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447765.5,<10.6,,,Vis.,SHS,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447767.73,<12.0,,,Vis.,TMR,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447769.5,<10.6,,,Vis.,SHS,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447773.0,<14.0,,,Vis.,PEX,,,,,,,,V,,,,V745 SCO,,STD,,,,
2447800.4,<10.6,,,Vis.,SHS,,,,,,,,V,,,,V745 SCO,,STD,,,,
2448097.6,<10.6,,,Vis.,SHS,,,,,,,,V,,,,V745 SCO,,STD,,,,
2448152.4,<10.6,,,Vis.,SHS,,,,,,,,V,,,,V745 SCO,,STD,,,,
2448155.0,<15.5,,,Vis.,CR,,,,,,,,V,,,,V745 SCO,,STD,,,,
2448334.17,<13.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448367.23,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448521.93,<12.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448526.93,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448527.93,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448528.97,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448530.94,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448536.89,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448536.93,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448537.95,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448541.91,<13.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448545.9,<13.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448547.9,<13.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448548.85,<13.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448559.89,<13.0,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448658.16,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448674.18,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448680.16,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448681.19,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448683.19,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448691.18,<13.8,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448694.16,<13.8,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448696.2799,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448704.23,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448709.22,<13.8,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448715.24,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448739.0,<13.8,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448743.07,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448747.07,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448748.04,<12.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448756.0299,<12.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448770.02,<12.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448774.02,<12.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448777.02,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448783.95,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448784.96,<12.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448791.83,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448792.88,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448794.92,<12.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448797.0,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448797.99,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448804.97,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448807.02,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448809.98,<12.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448813.97,<12.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448826.0299,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448826.92,<13.5,,,Vis.,JA,K        ,,,,RASNZ ARCHIVAL,,,V,,,,V745 SCO,,STD,,,,RASNZ
2448826.96,<12.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2448827.97,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
